label,task,macs,relus_published,backend,regime,gadget,threads,nb_tasks,gogc,gomemlimit,reps,status,constraints,domain_cardinality,padding_ratio,compile_ms,setup_ms,srs_ms,pk_bytes,vk_bytes,prove_ms_median,prove_ms_min,prove_ms_max,verify_ms_median,proof_bytes,proof_bytes_raw,peak_rss_bytes,peak_footprint_bytes,cpu_ratio,max_abs_intermediate,mac_per_s,bytes_per_mac_footprint,bytes_per_mac_rss,constraints_per_mac,bytes_per_constraint_footprint
t1-0-plonk-rB-t10-gdefault-moff-nt0-n5,t1-0,65536,0,plonk,B,hintedsign,10,0,default,off,5,OK,67592,131072,1.9392,41.914,326.914,1785.909,8423096,34384,1119.356,1113.196,1131.700,1.580,584,904,337018880,330973976,7.4444,265403,58548,5050.26,5142.50,1.0314,4896.64
t2-plonk-rB-t10-gdefault-moff-nt0-n5,t2,92224,448,plonk,B,hintedsign,10,0,default,off,5,OK,110950,131072,1.1814,62.685,353.315,1840.332,8423096,34384,1288.642,1286.892,1311.232,1.550,584,904,359284736,344326960,7.4044,14623789560139,71567,3733.59,3895.78,1.2030,3103.44
t1-a-plonk-rB-t10-gdefault-moff-nt0-n5,t1-a,589824,0,plonk,B,hintedsign,10,0,default,off,5,OK,592927,1048576,1.7685,382.197,2099.107,14493.734,67143352,34384,8416.401,8400.087,8457.545,1.803,584,904,2773057536,2767636976,7.6948,532359,70080,4692.31,4701.50,1.0053,4667.75
t3-plonk-rB-t10-gdefault-moff-nt0-n5,t3,737792,3584,plonk,B,hintedsign,10,0,default,off,5,OK,853672,1048576,1.2283,474.013,2317.298,14206.229,67143352,34384,8616.147,8603.291,8663.532,1.526,584,904,2513403904,2471708952,7.6955,19286700869800,85629,3350.14,3406.66,1.1571,2895.38
t1-0-groth16-rA-t1-gdefault-moff-nt0-n5,t1-0,65536,0,groth16,A,hintedsign,1,0,default,off,5,OK,197763,262144,1.3255,404.709,81315.308,,44740553,8688,4547.620,4506.984,4563.367,3.579,196,388,566853632,558908352,0.9974,265403,14411,8528.26,8649.50,3.0176,2826.15
t2-groth16-rA-t1-gdefault-moff-nt0-n5,t2,92224,448,groth16,A,hintedsign,1,0,default,off,5,OK,283408,524288,1.8499,554.856,122497.326,,68915955,528,7037.944,7018.635,7049.655,2.367,196,388,911654912,906052784,0.9976,14623789560139,13104,9824.48,9885.22,3.0730,3196.99
t1-0-groth16-rA-t2-gdefault-moff-nt0-n5,t1-0,65536,0,groth16,A,hintedsign,2,0,default,off,5,OK,197763,262144,1.3255,309.472,42188.922,,44740553,8688,2336.735,2330.378,2342.722,2.536,196,388,581271552,575882200,1.9210,265403,28046,8787.27,8869.50,3.0176,2911.98
t2-groth16-rA-t2-gdefault-moff-nt0-n5,t2,92224,448,groth16,A,hintedsign,2,0,default,off,5,OK,283408,524288,1.8499,422.416,65110.907,,68915955,528,3649.255,3621.270,3656.348,1.844,196,388,1043005440,1032520976,1.9142,14623789560139,25272,11195.79,11309.48,3.0730,3643.23
t1-0-groth16-rA-t4-gdefault-moff-nt0-n5,t1-0,65536,0,groth16,A,hintedsign,4,0,default,off,5,OK,197763,262144,1.3255,290.305,23182.753,,44740553,8688,1221.242,1216.905,1255.466,2.341,196,388,624852992,619332568,3.5579,265403,53663,9450.27,9534.50,3.0176,3131.69
t2-groth16-rA-t4-gdefault-moff-nt0-n5,t2,92224,448,groth16,A,hintedsign,4,0,default,off,5,OK,283408,524288,1.8499,399.699,35062.571,,68915955,528,1898.764,1880.355,1899.124,1.829,196,388,1069072384,1063109928,3.5932,14623789560139,48571,11527.48,11592.13,3.0730,3751.16
t1-0-groth16-rA-t10-g400-moff-nt0-n3,t1-0,65536,0,groth16,A,hintedsign,10,0,400,off,3,OK,197763,262144,1.3255,273.893,13409.850,,44740553,8688,679.012,658.611,680.656,2.074,196,388,1234731008,1229817248,6.5739,265403,96517,18765.52,18840.50,3.0176,6218.64
t1-0-groth16-rA-t10-g100-moff-nt0-n3,t1-0,65536,0,groth16,A,hintedsign,10,0,100,off,3,OK,197763,262144,1.3255,293.013,13397.538,,44740553,8688,672.413,654.668,681.554,2.113,196,388,607698944,602194928,6.5845,265403,97464,9188.77,9272.75,3.0176,3045.03
t1-0-groth16-rA-t10-g50-moff-nt0-n3,t1-0,65536,0,groth16,A,hintedsign,10,0,50,off,3,OK,197763,262144,1.3255,309.403,13581.571,,44740553,8688,683.125,667.789,689.900,2.165,196,388,456605696,441123704,6.4856,265403,95936,6731.01,6967.25,3.0176,2230.57
t1-0-groth16-rA-t10-g25-moff-nt0-n3,t1-0,65536,0,groth16,A,hintedsign,10,0,25,off,3,OK,197763,262144,1.3255,378.180,13474.559,,44740553,8688,682.180,664.843,684.195,2.292,196,388,383926272,373670752,6.5563,265403,96068,5701.76,5858.25,3.0176,1889.49
t1-0-groth16-rA-t10-gdefault-m2GiB-nt0-n3,t1-0,65536,0,groth16,A,hintedsign,10,0,default,2GiB,3,OK,197763,262144,1.3255,291.705,13450.195,,44740553,8688,654.778,653.253,658.413,2.099,196,388,623837184,618464264,6.5796,265403,100089,9437.02,9519.00,3.0176,3127.30
t1-0-groth16-rA-t10-gdefault-moff-nt1-n3,t1-0,65536,0,groth16,A,hintedsign,10,1,default,off,3,OK,197763,262144,1.3255,288.351,13416.250,,44740553,8688,675.330,674.197,681.038,2.138,196,388,556646400,551191488,6.5655,265403,97043,8410.51,8493.75,3.0176,2787.13
t1-0-groth16-rA-t10-gdefault-moff-nt2-n3,t1-0,65536,0,groth16,A,hintedsign,10,2,default,off,3,OK,197763,262144,1.3255,283.920,13361.135,,44740553,8688,666.290,661.723,672.695,2.074,196,388,670957568,663766024,6.6225,265403,98360,10128.27,10238.00,3.0176,3356.37
t1-0-groth16-rA-t10-gdefault-moff-nt4-n3,t1-0,65536,0,groth16,A,hintedsign,10,4,default,off,3,OK,197763,262144,1.3255,295.361,13405.993,,44740553,8688,672.995,651.944,703.406,2.164,196,388,612253696,606913520,6.5974,265403,97380,9260.77,9342.25,3.0176,3068.89
t1-0-groth16-rA-t10-gdefault-moff-nt10-n3,t1-0,65536,0,groth16,A,hintedsign,10,10,default,off,3,OK,197763,262144,1.3255,291.800,13357.168,,44740553,8688,665.160,660.254,672.093,2.062,196,388,644038656,638632968,6.6274,265403,98527,9744.77,9827.25,3.0176,3229.28
