label,task,n_macs,n_relus,log_inv_rate,threads,security_bits,n_test_queries,rep,prove_nanos,verify_nanos,proof_bytes
t1-0-r1-t1,T1-0,65536,0,1,1,96,232,0,179860916,6377542,345536
t1-0-r1-t1,T1-0,65536,0,1,1,96,232,1,177831667,6223750,345536
t1-0-r1-t1,T1-0,65536,0,1,1,96,232,2,177925250,6237750,345536
t1-0-r1-t1,T1-0,65536,0,1,1,96,232,3,186779750,7244917,345536
t1-0-r1-t1,T1-0,65536,0,1,1,96,232,4,178981792,6291584,345536
