label,task,field,route,n_macs,padded_macs,padding_factor,rounds,threads,rep,prove_nanos,verify_nanos,proof_bytes
t1-a-binary128-sumcheck-t10-n5,T1-a,binary128,sumcheck,589824,1048576,1.777778,10,10,0,57053417,137708,413
t1-a-binary128-sumcheck-t10-n5,T1-a,binary128,sumcheck,589824,1048576,1.777778,10,10,1,56749000,129250,413
t1-a-binary128-sumcheck-t10-n5,T1-a,binary128,sumcheck,589824,1048576,1.777778,10,10,2,56844708,136792,413
t1-a-binary128-sumcheck-t10-n5,T1-a,binary128,sumcheck,589824,1048576,1.777778,10,10,3,57193459,133250,413
t1-a-binary128-sumcheck-t10-n5,T1-a,binary128,sumcheck,589824,1048576,1.777778,10,10,4,56980250,129583,413
