label,task,log_inv_rate,threads,rep,channel_nanos,iop_nanos,wiring_nanos,finish_nanos,total_nanos,proof_bytes,n_imul,n_and,n_zero,n_bmul,n_private,n_inout
t3-r1-t1-n5,T3,1,1,0,291,272417,59908333,826083,61007375,460112,737792,737784,92224,0,2399408,8
t3-r1-t1-n5,T3,1,1,1,167,268792,59017291,859292,60146250,460112,737792,737784,92224,0,2399408,8
t3-r1-t1-n5,T3,1,1,2,667,295041,59104042,829041,60229125,460112,737792,737784,92224,0,2399408,8
t3-r1-t1-n5,T3,1,1,3,208,274208,58950667,821167,60046416,460112,737792,737784,92224,0,2399408,8
t3-r1-t1-n5,T3,1,1,4,209,266375,59323459,764126,60354292,460112,737792,737784,92224,0,2399408,8
