label,task,log_inv_rate,threads,rep,channel_nanos,iop_nanos,wiring_nanos,finish_nanos,total_nanos,proof_bytes,n_imul,n_and,n_zero,n_bmul,n_private,n_inout
t3-r1-t1-n5-cold,T3,1,1,0,541,336542,71216875,831833,72386250,460112,737792,737784,92224,0,2399408,8
t3-r1-t1-n5-cold,T3,1,1,1,250,274167,59851125,803749,60929584,460112,737792,737784,92224,0,2399408,8
t3-r1-t1-n5-cold,T3,1,1,2,250,272209,59349834,819792,60442417,460112,737792,737784,92224,0,2399408,8
t3-r1-t1-n5-cold,T3,1,1,3,458,299125,59115875,804917,60220750,460112,737792,737784,92224,0,2399408,8
t3-r1-t1-n5-cold,T3,1,1,4,208,274125,59255291,801292,60331458,460112,737792,737784,92224,0,2399408,8
