label,task,log_inv_rate,threads,rep,channel_nanos,iop_nanos,wiring_nanos,finish_nanos,total_nanos,proof_bytes,n_imul,n_and,n_zero,n_bmul,n_private,n_inout
t1-b-r1-t1-n5-dropprover,T1-b,1,1,0,29000,937750,201621958,922916,203512333,505952,2359296,2356224,294912,0,7959552,3072
t1-b-r1-t1-n5-dropprover,T1-b,1,1,1,25375,936208,194716375,976083,196654625,505952,2359296,2356224,294912,0,7959552,3072
t1-b-r1-t1-n5-dropprover,T1-b,1,1,2,24958,952416,194197208,955708,196130625,505952,2359296,2356224,294912,0,7959552,3072
t1-b-r1-t1-n5-dropprover,T1-b,1,1,3,27209,905625,194685292,951501,196570000,505952,2359296,2356224,294912,0,7959552,3072
t1-b-r1-t1-n5-dropprover,T1-b,1,1,4,24292,896750,194134083,966917,196022417,505952,2359296,2356224,294912,0,7959552,3072
