label,task,log_inv_rate,threads,rep,channel_nanos,iop_nanos,wiring_nanos,finish_nanos,total_nanos,proof_bytes,n_imul,n_and,n_zero,n_bmul,n_private,n_inout
t1-b-r1-t1-n5-cold-rep3,T1-b,1,1,0,37875,1026792,551644750,1024291,553734500,505952,2359296,2356224,294912,0,7959552,3072
t1-b-r1-t1-n5-cold-rep3,T1-b,1,1,1,26459,949500,198566542,934832,200477833,505952,2359296,2356224,294912,0,7959552,3072
t1-b-r1-t1-n5-cold-rep3,T1-b,1,1,2,25000,932250,226006959,963250,227928083,505952,2359296,2356224,294912,0,7959552,3072
t1-b-r1-t1-n5-cold-rep3,T1-b,1,1,3,25584,989166,242501958,1006334,244524000,505952,2359296,2356224,294912,0,7959552,3072
t1-b-r1-t1-n5-cold-rep3,T1-b,1,1,4,27250,964959,196911375,1035457,198939750,505952,2359296,2356224,294912,0,7959552,3072
