label,task,log_inv_rate,threads,rep,channel_nanos,iop_nanos,wiring_nanos,finish_nanos,total_nanos,proof_bytes,n_imul,n_and,n_zero,n_bmul,n_private,n_inout
t2-r1-t1-n5-cold,T2,1,1,0,542,273750,8832875,659916,9767208,346400,92224,92223,11528,0,380622,1
t2-r1-t1-n5-cold,T2,1,1,1,333,260000,7738167,644291,8642875,346400,92224,92223,11528,0,380622,1
t2-r1-t1-n5-cold,T2,1,1,2,542,248666,7412750,632459,8294625,346400,92224,92223,11528,0,380622,1
t2-r1-t1-n5-cold,T2,1,1,3,375,244291,7380542,664292,8289583,346400,92224,92223,11528,0,380622,1
t2-r1-t1-n5-cold,T2,1,1,4,292,241375,7388083,604583,8234500,346400,92224,92223,11528,0,380622,1
