label,task,n_macs,n_relus,log_inv_rate,threads,security_bits,n_test_queries,rep,prove_nanos,verify_nanos,proof_bytes
t1-a-r1-t1-n6,T1-a,589824,0,1,1,96,232,0,3306680084,154881583,460304
t1-a-r1-t1-n6,T1-a,589824,0,1,1,96,232,1,3822574416,88736625,460304
t1-a-r1-t1-n6,T1-a,589824,0,1,1,96,232,2,2763904459,71080958,460304
t1-a-r1-t1-n6,T1-a,589824,0,1,1,96,232,3,2669759500,73290958,460304
t1-a-r1-t1-n6,T1-a,589824,0,1,1,96,232,4,2718349750,71861667,460304
t1-a-r1-t1-n6,T1-a,589824,0,1,1,96,232,5,2710404750,73769166,460304
