task,artifact_bytes,offset,offset_fraction,byte_before,byte_after,outcome,detail
t1-a,116404,116376,0.999759,0x06,0x07,VERIFY_REJECTED,"equant ctx: fixed point multiplier: 16448, right shift: 21 Caused by: Could not find challenges for SignedZeroCheckTable"
t1-a,116404,116377,0.999768,0x80,0x81,VERIFY_REJECTED,"equant ctx: fixed point multiplier: 16448, right shift: 21 Caused by: Could not find challenges for SignedZeroCheckTable"
t1-a,116404,116378,0.999777,0x80,0x81,VERIFY_REJECTED,"equant ctx: fixed point multiplier: 16448, right shift: 21 Caused by: Could not find challenges for SignedZeroCheckTable"
t1-a,116404,116379,0.999785,0x80,0x81,VERIFY_REJECTED,"equant ctx: fixed point multiplier: 16448, right shift: 21 Caused by: Could not find challenges for SignedZeroCheckTable"
t1-a,116404,116380,0.999794,0xfc,0xfd,VERIFY_REJECTED,"equant ctx: fixed point multiplier: 16448, right shift: 21 Caused by: Could not find challenges for SignedZeroCheckTable"
t1-a,116404,116381,0.999802,0x03,0x02,VERIFY_REJECTED,"equant ctx: fixed point multiplier: 16448, right shift: 21 Caused by: Could not find challenges for SignedZeroCheckTable"
t1-a,116404,116382,0.999811,0x80,0x81,VERIFY_REJECTED,"equant ctx: fixed point multiplier: 16448, right shift: 21 Caused by: Could not find challenges for SignedZeroCheckTable"
t1-a,116404,116383,0.999820,0x80,0x81,VERIFY_REJECTED,"equant ctx: fixed point multiplier: 16448, right shift: 21 Caused by: Could not find challenges for SignedZeroCheckTable"
t1-a,116404,116384,0.999828,0x80,0x81,VERIFY_REJECTED,"equant ctx: fixed point multiplier: 16448, right shift: 21 Caused by: Could not find challenges for SignedZeroCheckTable"
t1-a,116404,116385,0.999837,0xfc,0xfd,VERIFY_REJECTED,"equant ctx: fixed point multiplier: 16448, right shift: 21 Caused by: Could not find challenges for SignedZeroCheckTable"
t1-a,116404,116386,0.999845,0x03,0x02,VERIFY_REJECTED,"equant ctx: fixed point multiplier: 16448, right shift: 21 Caused by: Could not find challenges for SignedZeroCheckTable"
t1-a,116404,116387,0.999854,0x10,0x11,VERIFY_REJECTED,"equant ctx: fixed point multiplier: 16448, right shift: 21 Caused by: Could not find challenges for SignedZeroCheckTable"
t1-a,116404,116388,0.999863,0x01,0x00,DESERIALIZE_REJECTED,Error: failed to deserialize proof as either ONNX or LLM format
t1-a,116404,116389,0.999871,0x03,0x02,VERIFY_ACCEPTED,
t1-a,116404,116390,0.999880,0x04,0x05,VERIFY_REJECTED,"h ID N3: Requant ctx: fixed point multiplier: 16448, right shift: 21 Caused by: Could not find challenges for ValueTable"
t1-a,116404,116391,0.999888,0x80,0x81,VERIFY_REJECTED,"h ID N3: Requant ctx: fixed point multiplier: 16448, right shift: 21 Caused by: Could not find challenges for ValueTable"
t1-a,116404,116392,0.999897,0x80,0x81,VERIFY_REJECTED,"h ID N3: Requant ctx: fixed point multiplier: 16448, right shift: 21 Caused by: Could not find challenges for ValueTable"
t1-a,116404,116393,0.999906,0x80,0x81,VERIFY_REJECTED,"h ID N3: Requant ctx: fixed point multiplier: 16448, right shift: 21 Caused by: Could not find challenges for ValueTable"
t1-a,116404,116394,0.999914,0xfc,0xfd,VERIFY_REJECTED,"h ID N3: Requant ctx: fixed point multiplier: 16448, right shift: 21 Caused by: Could not find challenges for ValueTable"
t1-a,116404,116395,0.999923,0x03,0x02,VERIFY_REJECTED,"h ID N3: Requant ctx: fixed point multiplier: 16448, right shift: 21 Caused by: Could not find challenges for ValueTable"
t1-a,116404,116396,0.999931,0x80,0x81,VERIFY_REJECTED,"h ID N3: Requant ctx: fixed point multiplier: 16448, right shift: 21 Caused by: Could not find challenges for ValueTable"
t1-a,116404,116397,0.999940,0x80,0x81,VERIFY_REJECTED,"h ID N3: Requant ctx: fixed point multiplier: 16448, right shift: 21 Caused by: Could not find challenges for ValueTable"
t1-a,116404,116398,0.999948,0x80,0x81,VERIFY_REJECTED,"h ID N3: Requant ctx: fixed point multiplier: 16448, right shift: 21 Caused by: Could not find challenges for ValueTable"
t1-a,116404,116399,0.999957,0xfc,0xfd,VERIFY_REJECTED,"h ID N3: Requant ctx: fixed point multiplier: 16448, right shift: 21 Caused by: Could not find challenges for ValueTable"
t1-a,116404,116400,0.999966,0x03,0x02,VERIFY_REJECTED,"h ID N3: Requant ctx: fixed point multiplier: 16448, right shift: 21 Caused by: Could not find challenges for ValueTable"
t1-a,116404,116401,0.999974,0x08,0x09,VERIFY_REJECTED,"h ID N3: Requant ctx: fixed point multiplier: 16448, right shift: 21 Caused by: Could not find challenges for ValueTable"
t1-a,116404,116402,0.999983,0x01,0x00,VERIFY_REJECTED,"h ID N3: Requant ctx: fixed point multiplier: 16448, right shift: 21 Caused by: Could not find challenges for ValueTable"
t1-a,116404,116403,0.999991,0x03,0x02,VERIFY_ACCEPTED,
