task,artifact_bytes,offset,offset_fraction,byte_before,byte_after,outcome,detail
t1-0,59512,2752,0.046243,0x0b,0x0a,VERIFY_REJECTED,707535930339 does not match expected claim 12159250995933367794462287236989661503741687405017441413458035554926350859797
t1-0,59512,2816,0.047318,0xd8,0xd9,VERIFY_REJECTED,413370763501 does not match expected claim 14577517576489292026309538758049577053428255977314437300676783194132420348603
t1-0,59512,2880,0.048394,0x6b,0x6a,VERIFY_REJECTED,682503699618080437997842150704803424488511 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-0,59512,2944,0.049469,0x69,0x68,VERIFY_REJECTED,s rounds sumcheck output claim: 2070144133120251178973323156543701860140819372622280524575267174114165331884 at round: 0
t1-0,59512,2976,0.050007,0xb6,0xb7,VERIFY_REJECTED, rounds sumcheck output claim: 11444904813705435250678573907840128708476806220460685996596939608538504161496 at round: 0
t1-0,59512,3008,0.050544,0x01,0x00,DESERIALIZE_REJECTED,Error: failed to deserialize proof as either ONNX or LLM format
t1-0,59512,3072,0.051620,0x8a,0x8b,VERIFY_REJECTED,364923378190634700061392377224298605951002 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-0,59512,3136,0.052695,0x7c,0x7d,VERIFY_REJECTED,854527406085126661944756753385045768345585 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-0,59512,3200,0.053771,0x46,0x47,VERIFY_REJECTED,076084013656314865663751753857028862585360 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-0,59512,3264,0.054846,0x21,0x20,VERIFY_REJECTED,s rounds sumcheck output claim: 6194165385438019131007898897343745222185776008983427607187923660058767515836 at round: 1
t1-0,59512,3328,0.055921,0xaa,0xab,VERIFY_REJECTED,019695133949142241901401461169709802287472 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-0,59512,3392,0.056997,0x37,0x36,VERIFY_REJECTED,266024348996411337941714225289708580676891 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-0,59512,3456,0.058072,0xab,0xaa,VERIFY_REJECTED,214513250967950714546673856146421326288005 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-0,59512,3520,0.059148,0x18,0x19,VERIFY_REJECTED,379297274059594606369990520055189133778532 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
