label,task,field,route,n_macs,padded_macs,padding_factor,rounds,threads,rep,prove_nanos,verify_nanos,proof_bytes
t1-a-koala-bear-sumcheck-whir-t10-n6,T1-a,koala-bear,sumcheck-whir,589824,1048576,1.777778,10,10,0,124124500,7369833,229294
t1-a-koala-bear-sumcheck-whir-t10-n6,T1-a,koala-bear,sumcheck-whir,589824,1048576,1.777778,10,10,1,113211708,5616291,230062
t1-a-koala-bear-sumcheck-whir-t10-n6,T1-a,koala-bear,sumcheck-whir,589824,1048576,1.777778,10,10,2,93296750,5723000,230446
t1-a-koala-bear-sumcheck-whir-t10-n6,T1-a,koala-bear,sumcheck-whir,589824,1048576,1.777778,10,10,3,92855334,5565917,227918
t1-a-koala-bear-sumcheck-whir-t10-n6,T1-a,koala-bear,sumcheck-whir,589824,1048576,1.777778,10,10,4,104088042,5537459,229006
t1-a-koala-bear-sumcheck-whir-t10-n6,T1-a,koala-bear,sumcheck-whir,589824,1048576,1.777778,10,10,5,91145000,5549875,229006
