label,task,field,route,n_macs,padded_macs,padding_factor,rounds,threads,rep,prove_nanos,verify_nanos,proof_bytes
t1-a-koala-bear-sumcheck-t10-n5,T1-a,koala-bear,sumcheck,589824,1048576,1.777778,10,10,0,5034792,113291,354
t1-a-koala-bear-sumcheck-t10-n5,T1-a,koala-bear,sumcheck,589824,1048576,1.777778,10,10,1,5416167,132708,354
t1-a-koala-bear-sumcheck-t10-n5,T1-a,koala-bear,sumcheck,589824,1048576,1.777778,10,10,2,5095333,111083,354
t1-a-koala-bear-sumcheck-t10-n5,T1-a,koala-bear,sumcheck,589824,1048576,1.777778,10,10,3,5167042,118125,354
t1-a-koala-bear-sumcheck-t10-n5,T1-a,koala-bear,sumcheck,589824,1048576,1.777778,10,10,4,5078542,112875,354
