task,family,position,detail,verdict
t1-0,none,-,honest,VERIFY_ACCEPTED
t1-0,none,-,roundtrip,VERIFY_ACCEPTED
t1-0,output_word,0,xor1,VERIFY_REJECTED
t1-0,output_word,1,xor1,VERIFY_REJECTED
t1-0,output_word,2,xor1,VERIFY_REJECTED
t1-0,output_word,255,xor1_last,VERIFY_REJECTED
t1-0,input_word,0,xor1,VERIFY_REJECTED
t1-0,input_word,1,xor1,VERIFY_REJECTED
t1-0,input_word,255,xor1_last,VERIFY_REJECTED
t1-0,proof_byte,16468,xor01_fromf1,VERIFY_REJECTED
t1-0,proof_byte,16469,xor01_fromc1,VERIFY_REJECTED
t1-0,proof_byte,16470,xor01_from1f,VERIFY_REJECTED
t1-0,proof_byte,16471,xor01_fromef,VERIFY_REJECTED
t1-0,proof_byte,16472,xor01_from21,VERIFY_REJECTED
t1-0,proof_byte,16473,xor01_from5b,VERIFY_REJECTED
t1-0,proof_byte,16474,xor01_from0a,VERIFY_REJECTED
t1-0,proof_byte,16475,xor01_from62,VERIFY_REJECTED
t1-0,proof_byte,16476,xor01_from74,VERIFY_REJECTED
t1-0,proof_byte,16477,xor01_from66,VERIFY_REJECTED
t1-0,proof_byte,16478,xor01_froma2,VERIFY_REJECTED
t1-0,proof_byte,16479,xor01_fromac,VERIFY_REJECTED
t1-0,proof_byte,16480,xor01_from16,VERIFY_REJECTED
t1-0,proof_byte,16481,xor01_from02,DESERIALIZE_REJECTED
t1-0,proof_byte,16482,xor01_from00,DESERIALIZE_REJECTED
t1-0,proof_byte,16483,xor01_from00,DESERIALIZE_REJECTED
t1-0,proof_byte,16484,xor01_from00,DESERIALIZE_REJECTED
t1-0,proof_byte,16485,xor01_from00,DESERIALIZE_REJECTED
t1-0,proof_byte,16486,xor01_from00,DESERIALIZE_REJECTED
