task,family,position,detail,verdict
t1-0,none,-,honest,VERIFY_ACCEPTED
t1-0,none,-,roundtrip,VERIFY_ACCEPTED
t1-0,output_word,0,xor1,VERIFY_REJECTED
t1-0,output_word,1,xor1,VERIFY_REJECTED
t1-0,output_word,2,xor1,VERIFY_REJECTED
t1-0,output_word,255,xor1_last,VERIFY_REJECTED
t1-0,input_word,0,xor1,VERIFY_REJECTED
t1-0,input_word,1,xor1,VERIFY_REJECTED
t1-0,input_word,255,xor1_last,VERIFY_REJECTED
t1-0,proof_byte,8468,xor01_from80,VERIFY_REJECTED
t1-0,proof_byte,8469,xor01_from16,VERIFY_REJECTED
t1-0,proof_byte,8470,xor01_from5d,VERIFY_REJECTED
t1-0,proof_byte,8471,xor01_fromf0,VERIFY_REJECTED
t1-0,proof_byte,8472,xor01_from16,VERIFY_REJECTED
t1-0,proof_byte,8473,xor01_from4c,VERIFY_REJECTED
t1-0,proof_byte,8474,xor01_from56,VERIFY_REJECTED
t1-0,proof_byte,8475,xor01_fromaf,VERIFY_REJECTED
t1-0,proof_byte,8476,xor01_frome2,VERIFY_REJECTED
t1-0,proof_byte,8477,xor01_fromf6,VERIFY_REJECTED
t1-0,proof_byte,8478,xor01_from2b,VERIFY_REJECTED
t1-0,proof_byte,8479,xor01_from98,VERIFY_REJECTED
t1-0,proof_byte,8480,xor01_from64,VERIFY_REJECTED
t1-0,proof_byte,8481,xor01_fromfb,VERIFY_REJECTED
t1-0,proof_byte,8482,xor01_fromcb,VERIFY_REJECTED
t1-0,proof_byte,8483,xor01_fromc8,VERIFY_REJECTED
t1-0,proof_byte,8484,xor01_from0d,VERIFY_REJECTED
t1-0,proof_byte,8485,xor01_from2e,VERIFY_REJECTED
t1-0,proof_byte,8486,xor01_from8d,VERIFY_REJECTED
t1-0,proof_byte,8487,xor01_from6b,VERIFY_REJECTED
t1-0,proof_byte,8488,xor01_from7e,VERIFY_REJECTED
t1-0,proof_byte,8489,xor01_from66,VERIFY_REJECTED
t1-0,proof_byte,8490,xor01_fromee,VERIFY_REJECTED
t1-0,proof_byte,8491,xor01_from28,VERIFY_REJECTED
t1-0,proof_byte,8492,xor01_froma1,VERIFY_REJECTED
t1-0,proof_byte,8493,xor01_fromb8,VERIFY_REJECTED
t1-0,proof_byte,8494,xor01_fromc3,VERIFY_REJECTED
t1-0,proof_byte,8495,xor01_frome2,VERIFY_REJECTED
t1-0,proof_byte,8496,xor01_from29,VERIFY_REJECTED
t1-0,proof_byte,8497,xor01_fromfd,VERIFY_REJECTED
t1-0,proof_byte,8498,xor01_fromb3,VERIFY_REJECTED
t1-0,proof_byte,8499,xor01_from61,VERIFY_REJECTED
t1-0,proof_byte,8500,xor01_fromad,VERIFY_REJECTED
t1-0,proof_byte,8501,xor01_from26,VERIFY_REJECTED
t1-0,proof_byte,8502,xor01_from02,DESERIALIZE_PANIC
t1-0,proof_byte,8503,xor01_from00,DESERIALIZE_REJECTED
t1-0,proof_byte,8504,xor01_from00,DESERIALIZE_REJECTED
t1-0,proof_byte,8505,xor01_from00,DESERIALIZE_REJECTED
t1-0,proof_byte,8506,xor01_from00,DESERIALIZE_REJECTED
t1-0,proof_byte,8507,xor01_from00,DESERIALIZE_REJECTED
