task,family,position,detail,verdict
t1-0,proof_byte,12555,xor01_from2b,VERIFY_REJECTED
t1-0,proof_byte,12556,xor01_from4e,VERIFY_REJECTED
t1-0,proof_byte,12557,xor01_from34,VERIFY_REJECTED
t1-0,proof_byte,12558,xor01_from24,VERIFY_REJECTED
t1-0,proof_byte,12559,xor01_from8a,VERIFY_REJECTED
t1-0,proof_byte,12560,xor01_fromb5,VERIFY_REJECTED
t1-0,proof_byte,12561,xor01_from27,VERIFY_REJECTED
t1-0,proof_byte,12562,xor01_from52,VERIFY_REJECTED
t1-0,proof_byte,12563,xor01_fromc0,VERIFY_REJECTED
t1-0,proof_byte,12564,xor01_from36,VERIFY_REJECTED
t1-0,proof_byte,12565,xor01_fromd1,VERIFY_REJECTED
t1-0,proof_byte,12566,xor01_fromb9,VERIFY_REJECTED
t1-0,proof_byte,12567,xor01_from87,VERIFY_REJECTED
t1-0,proof_byte,12568,xor01_fromb2,VERIFY_REJECTED
t1-0,proof_byte,12569,xor01_fromce,VERIFY_REJECTED
t1-0,proof_byte,12570,xor01_from22,VERIFY_REJECTED
t1-0,proof_byte,12571,xor01_from7d,VERIFY_REJECTED
t1-0,proof_byte,12572,xor01_from93,VERIFY_REJECTED
t1-0,proof_byte,12573,xor01_fromd2,VERIFY_REJECTED
t1-0,proof_byte,12574,xor01_fromc4,VERIFY_REJECTED
t1-0,proof_byte,12575,xor01_from14,VERIFY_REJECTED
t1-0,proof_byte,12576,xor01_from24,VERIFY_REJECTED
t1-0,proof_byte,12577,xor01_fromc7,VERIFY_REJECTED
t1-0,proof_byte,12578,xor01_fromea,VERIFY_REJECTED
t1-0,proof_byte,12579,xor01_froma1,VERIFY_REJECTED
t1-0,proof_byte,12580,xor01_fromb8,VERIFY_REJECTED
t1-0,proof_byte,12581,xor01_from10,VERIFY_REJECTED
t1-0,proof_byte,12582,xor01_from3d,VERIFY_REJECTED
t1-0,proof_byte,12583,xor01_fromb3,VERIFY_REJECTED
t1-0,proof_byte,12584,xor01_from8e,VERIFY_REJECTED
t1-0,proof_byte,12585,xor01_from18,VERIFY_REJECTED
t1-0,proof_byte,12586,xor01_fromf1,VERIFY_REJECTED
t1-0,proof_byte,12587,xor01_from59,VERIFY_REJECTED
t1-0,proof_byte,12588,xor01_froma1,VERIFY_REJECTED
t1-0,proof_byte,12589,xor01_fromf5,VERIFY_REJECTED
t1-0,proof_byte,12590,xor01_from15,VERIFY_REJECTED
t1-0,proof_byte,12591,xor01_from56,VERIFY_REJECTED
t1-0,proof_byte,12592,xor01_from3b,VERIFY_REJECTED
t1-0,proof_byte,12593,xor01_frombe,VERIFY_REJECTED
t1-0,proof_byte,12594,xor01_from97,VERIFY_REJECTED
t1-0,proof_byte,12595,xor01_from7e,VERIFY_REJECTED
t1-0,proof_byte,12596,xor01_from66,VERIFY_REJECTED
t1-0,proof_byte,12597,xor01_from73,VERIFY_REJECTED
t1-0,proof_byte,12598,xor01_fromf6,VERIFY_REJECTED
t1-0,proof_byte,12599,xor01_fromea,VERIFY_REJECTED
t1-0,proof_byte,12600,xor01_fromcd,VERIFY_REJECTED
t1-0,proof_byte,12601,xor01_from42,VERIFY_REJECTED
t1-0,proof_byte,12602,xor01_from32,VERIFY_REJECTED
t1-0,proof_byte,12603,xor01_from32,VERIFY_REJECTED
t1-0,proof_byte,12604,xor01_from4d,VERIFY_REJECTED
t1-0,proof_byte,12605,xor01_from2d,VERIFY_REJECTED
t1-0,proof_byte,12606,xor01_from1d,VERIFY_REJECTED
t1-0,proof_byte,12607,xor01_froma2,VERIFY_REJECTED
t1-0,proof_byte,12608,xor01_from02,VERIFY_REJECTED
t1-0,proof_byte,12609,xor01_from69,VERIFY_REJECTED
t1-0,proof_byte,12610,xor01_from33,VERIFY_REJECTED
t1-0,proof_byte,12611,xor01_from0e,VERIFY_REJECTED
t1-0,proof_byte,12612,xor01_from4b,VERIFY_REJECTED
t1-0,proof_byte,12613,xor01_from63,VERIFY_REJECTED
t1-0,proof_byte,12614,xor01_from1a,VERIFY_REJECTED
t1-0,proof_byte,12615,xor01_from74,VERIFY_REJECTED
t1-0,proof_byte,12616,xor01_from5f,VERIFY_REJECTED
t1-0,proof_byte,12617,xor01_from83,VERIFY_REJECTED
t1-0,proof_byte,12618,xor01_fromc3,VERIFY_REJECTED
