task,family,position,detail,verdict
t1-0,proof_byte,21401,xor1,VERIFY_REJECTED
t1-0,proof_byte,21402,xor1,VERIFY_REJECTED
t1-0,proof_byte,21403,xor1,VERIFY_REJECTED
t1-0,proof_byte,21404,xor1,VERIFY_REJECTED
t1-0,proof_byte,21405,xor1,VERIFY_REJECTED
t1-0,proof_byte,21406,xor1,VERIFY_REJECTED
t1-0,proof_byte,21407,xor1,VERIFY_REJECTED
t1-0,proof_byte,21408,xor1,VERIFY_REJECTED
t1-0,proof_byte,21409,xor1,VERIFY_REJECTED
t1-0,proof_byte,21410,xor1,VERIFY_REJECTED
t1-0,proof_byte,21411,xor1,VERIFY_REJECTED
t1-0,proof_byte,21412,xor1,VERIFY_REJECTED
t1-0,proof_byte,21413,xor1,VERIFY_REJECTED
t1-0,proof_byte,21414,xor1,VERIFY_REJECTED
t1-0,proof_byte,21415,xor1,VERIFY_REJECTED
t1-0,proof_byte,21416,xor1,VERIFY_REJECTED
t1-0,proof_byte,21417,xor1,VERIFY_REJECTED
t1-0,proof_byte,21418,xor1,VERIFY_REJECTED
