task,family,position,detail,verdict
t1-0,proof_byte,28,xor01_from8f,VERIFY_REJECTED
t1-0,proof_byte,29,xor01_fromf3,VERIFY_REJECTED
t1-0,proof_byte,30,xor01_from9e,VERIFY_REJECTED
t1-0,proof_byte,31,xor01_fromfa,VERIFY_REJECTED
t1-0,proof_byte,32,xor01_fromd3,VERIFY_REJECTED
t1-0,proof_byte,33,xor01_fromdd,VERIFY_REJECTED
t1-0,proof_byte,34,xor01_from87,VERIFY_REJECTED
t1-0,proof_byte,35,xor01_from21,VERIFY_REJECTED
t1-0,proof_byte,36,xor01_frombf,VERIFY_REJECTED
t1-0,proof_byte,37,xor01_from63,VERIFY_REJECTED
t1-0,proof_byte,38,xor01_from6e,VERIFY_REJECTED
t1-0,proof_byte,39,xor01_from70,VERIFY_REJECTED
t1-0,proof_byte,40,xor01_fromdf,VERIFY_REJECTED
t1-0,proof_byte,41,xor01_frome4,VERIFY_REJECTED
t1-0,proof_byte,42,xor01_from8e,VERIFY_REJECTED
t1-0,proof_byte,43,xor01_fromf9,VERIFY_REJECTED
t1-0,proof_byte,44,xor01_froma8,VERIFY_REJECTED
t1-0,proof_byte,45,xor01_froma4,VERIFY_REJECTED
t1-0,proof_byte,46,xor01_from68,VERIFY_REJECTED
t1-0,proof_byte,47,xor01_frombc,VERIFY_REJECTED
t1-0,proof_byte,48,xor01_from2c,VERIFY_REJECTED
t1-0,proof_byte,49,xor01_fromc5,VERIFY_REJECTED
t1-0,proof_byte,50,xor01_from10,VERIFY_REJECTED
t1-0,proof_byte,51,xor01_fromec,VERIFY_REJECTED
t1-0,proof_byte,52,xor01_fromf9,VERIFY_REJECTED
t1-0,proof_byte,53,xor01_from70,VERIFY_REJECTED
t1-0,proof_byte,54,xor01_from2b,VERIFY_REJECTED
t1-0,proof_byte,55,xor01_from75,VERIFY_REJECTED
t1-0,proof_byte,56,xor01_fromda,VERIFY_REJECTED
t1-0,proof_byte,57,xor01_from66,VERIFY_REJECTED
t1-0,proof_byte,58,xor01_from29,VERIFY_REJECTED
