task,family,position,detail,verdict
t1-0,proof_byte,3213,xor01_from4e,VERIFY_ACCEPTED
t1-0,proof_byte,3213,xor02_from4e,VERIFY_ACCEPTED
t1-0,proof_byte,3213,xor04_from4e,VERIFY_ACCEPTED
t1-0,proof_byte,3213,xor08_from4e,VERIFY_ACCEPTED
t1-0,proof_byte,3213,xor10_from4e,VERIFY_ACCEPTED
t1-0,proof_byte,3213,xor20_from4e,VERIFY_ACCEPTED
t1-0,proof_byte,3213,xor40_from4e,VERIFY_ACCEPTED
t1-0,proof_byte,3213,xor80_from4e,VERIFY_ACCEPTED
t1-0,proof_byte,3213,xorff_from4e,VERIFY_ACCEPTED
t1-0,proof_byte,3214,xor01_from17,VERIFY_ACCEPTED
t1-0,proof_byte,3214,xor02_from17,VERIFY_ACCEPTED
t1-0,proof_byte,3214,xor04_from17,VERIFY_ACCEPTED
t1-0,proof_byte,3214,xor08_from17,VERIFY_ACCEPTED
t1-0,proof_byte,3214,xor10_from17,VERIFY_ACCEPTED
t1-0,proof_byte,3214,xor20_from17,VERIFY_ACCEPTED
t1-0,proof_byte,3214,xor40_from17,VERIFY_ACCEPTED
t1-0,proof_byte,3214,xor80_from17,VERIFY_ACCEPTED
t1-0,proof_byte,3214,xorff_from17,VERIFY_ACCEPTED
t1-0,proof_byte,3215,xor01_from5c,VERIFY_ACCEPTED
t1-0,proof_byte,3215,xor02_from5c,VERIFY_ACCEPTED
t1-0,proof_byte,3215,xor04_from5c,VERIFY_ACCEPTED
t1-0,proof_byte,3215,xor08_from5c,VERIFY_ACCEPTED
t1-0,proof_byte,3215,xor10_from5c,VERIFY_ACCEPTED
t1-0,proof_byte,3215,xor20_from5c,VERIFY_ACCEPTED
t1-0,proof_byte,3215,xor40_from5c,VERIFY_ACCEPTED
t1-0,proof_byte,3215,xor80_from5c,VERIFY_ACCEPTED
t1-0,proof_byte,3215,xorff_from5c,VERIFY_ACCEPTED
t1-0,proof_byte,3216,xor01_from62,VERIFY_ACCEPTED
t1-0,proof_byte,3216,xor02_from62,VERIFY_ACCEPTED
t1-0,proof_byte,3216,xor04_from62,VERIFY_ACCEPTED
t1-0,proof_byte,3216,xor08_from62,VERIFY_ACCEPTED
t1-0,proof_byte,3216,xor10_from62,VERIFY_ACCEPTED
t1-0,proof_byte,3216,xor20_from62,VERIFY_ACCEPTED
t1-0,proof_byte,3216,xor40_from62,VERIFY_ACCEPTED
t1-0,proof_byte,3216,xor80_from62,VERIFY_ACCEPTED
t1-0,proof_byte,3216,xorff_from62,VERIFY_ACCEPTED
t1-0,proof_byte,3217,xor01_from17,VERIFY_ACCEPTED
t1-0,proof_byte,3217,xor02_from17,VERIFY_ACCEPTED
t1-0,proof_byte,3217,xor04_from17,VERIFY_ACCEPTED
t1-0,proof_byte,3217,xor08_from17,VERIFY_ACCEPTED
t1-0,proof_byte,3217,xor10_from17,VERIFY_ACCEPTED
t1-0,proof_byte,3217,xor20_from17,VERIFY_ACCEPTED
t1-0,proof_byte,3217,xor40_from17,VERIFY_ACCEPTED
t1-0,proof_byte,3217,xor80_from17,VERIFY_ACCEPTED
t1-0,proof_byte,3217,xorff_from17,VERIFY_ACCEPTED
t1-0,proof_byte,3218,xor01_from21,VERIFY_ACCEPTED
t1-0,proof_byte,3218,xor02_from21,VERIFY_ACCEPTED
t1-0,proof_byte,3218,xor04_from21,VERIFY_ACCEPTED
t1-0,proof_byte,3218,xor08_from21,VERIFY_ACCEPTED
t1-0,proof_byte,3218,xor10_from21,VERIFY_ACCEPTED
t1-0,proof_byte,3218,xor20_from21,VERIFY_ACCEPTED
t1-0,proof_byte,3218,xor40_from21,VERIFY_ACCEPTED
t1-0,proof_byte,3218,xor80_from21,VERIFY_ACCEPTED
t1-0,proof_byte,3218,xorff_from21,VERIFY_ACCEPTED
t1-0,proof_byte,3219,xor01_fromf9,VERIFY_ACCEPTED
t1-0,proof_byte,3219,xor02_fromf9,VERIFY_ACCEPTED
t1-0,proof_byte,3219,xor04_fromf9,VERIFY_ACCEPTED
t1-0,proof_byte,3219,xor08_fromf9,VERIFY_ACCEPTED
t1-0,proof_byte,3219,xor10_fromf9,VERIFY_ACCEPTED
t1-0,proof_byte,3219,xor20_fromf9,VERIFY_ACCEPTED
t1-0,proof_byte,3219,xor40_fromf9,VERIFY_ACCEPTED
t1-0,proof_byte,3219,xor80_fromf9,VERIFY_ACCEPTED
t1-0,proof_byte,3219,xorff_fromf9,VERIFY_ACCEPTED
t1-0,proof_byte,3220,xor01_from2a,VERIFY_ACCEPTED
t1-0,proof_byte,3220,xor02_from2a,VERIFY_ACCEPTED
t1-0,proof_byte,3220,xor04_from2a,VERIFY_ACCEPTED
t1-0,proof_byte,3220,xor08_from2a,VERIFY_ACCEPTED
t1-0,proof_byte,3220,xor10_from2a,DESERIALIZE_REJECTED
t1-0,proof_byte,3220,xor20_from2a,VERIFY_ACCEPTED
t1-0,proof_byte,3220,xor40_from2a,DESERIALIZE_REJECTED
t1-0,proof_byte,3220,xor80_from2a,DESERIALIZE_REJECTED
t1-0,proof_byte,3220,xorff_from2a,DESERIALIZE_REJECTED
proof bytes = 21419
