task,family,position,detail,verdict
t1-0,proof_byte,5888,xor01_from59,VERIFY_REJECTED
t1-0,proof_byte,5952,xor01_from32,VERIFY_REJECTED
t1-0,proof_byte,6016,xor01_from0,DESERIALIZE_REJECTED
t1-0,proof_byte,6080,xor01_from40,VERIFY_REJECTED
t1-0,proof_byte,6144,xor01_from180,VERIFY_REJECTED
t1-0,proof_byte,6208,xor01_from241,VERIFY_REJECTED
t1-0,proof_byte,6272,xor01_from178,VERIFY_REJECTED
t1-0,proof_byte,6336,xor01_from201,VERIFY_REJECTED
t1-0,proof_byte,6400,xor01_from187,VERIFY_REJECTED
t1-0,proof_byte,6464,xor01_from116,VERIFY_REJECTED
t1-0,proof_byte,6528,xor01_from0,DESERIALIZE_REJECTED
t1-0,proof_byte,6592,xor01_from252,VERIFY_REJECTED
t1-0,proof_byte,6656,xor01_from27,VERIFY_REJECTED
t1-0,proof_byte,6720,xor01_from242,VERIFY_REJECTED
t1-0,proof_byte,6784,xor01_from107,VERIFY_REJECTED
t1-0,proof_byte,6848,xor01_from166,VERIFY_REJECTED
t1-0,proof_byte,6912,xor01_from61,VERIFY_REJECTED
t1-0,proof_byte,6976,xor01_from0,DESERIALIZE_REJECTED
t1-0,proof_byte,7040,xor01_from150,VERIFY_REJECTED
t1-0,proof_byte,7104,xor01_from83,VERIFY_REJECTED
t1-0,proof_byte,7168,xor01_from97,VERIFY_REJECTED
t1-0,proof_byte,7232,xor01_from139,VERIFY_REJECTED
t1-0,proof_byte,7296,xor01_from246,VERIFY_REJECTED
t1-0,proof_byte,7360,xor01_from9,VERIFY_REJECTED
t1-0,proof_byte,7424,xor01_from227,VERIFY_REJECTED
t1-0,proof_byte,7488,xor01_from0,DESERIALIZE_REJECTED
t1-0,proof_byte,7552,xor01_from240,VERIFY_REJECTED
t1-0,proof_byte,7616,xor01_from188,VERIFY_REJECTED
t1-0,proof_byte,7680,xor01_from90,VERIFY_REJECTED
t1-0,proof_byte,7744,xor01_from205,VERIFY_REJECTED
t1-0,proof_byte,7808,xor01_from133,VERIFY_REJECTED
t1-0,proof_byte,7872,xor01_from58,VERIFY_REJECTED
t1-0,proof_byte,7936,xor01_from0,DESERIALIZE_REJECTED
t1-0,proof_byte,8000,xor01_from102,VERIFY_REJECTED
t1-0,proof_byte,8064,xor01_from171,VERIFY_REJECTED
t1-0,proof_byte,8128,xor01_from199,VERIFY_REJECTED
t1-0,proof_byte,8192,xor01_from228,VERIFY_REJECTED
t1-0,proof_byte,8256,xor01_from247,VERIFY_REJECTED
t1-0,proof_byte,8320,xor01_from53,VERIFY_REJECTED
t1-0,proof_byte,8384,xor01_from15,VERIFY_REJECTED
t1-0,proof_byte,8448,xor01_from0,DESERIALIZE_REJECTED
t1-0,proof_byte,8512,xor01_from160,VERIFY_REJECTED
t1-0,proof_byte,8576,xor01_from154,VERIFY_REJECTED
t1-0,proof_byte,8640,xor01_from53,VERIFY_REJECTED
t1-0,proof_byte,8704,xor01_from77,VERIFY_REJECTED
t1-0,proof_byte,8768,xor01_from55,VERIFY_REJECTED
t1-0,proof_byte,8832,xor01_from223,VERIFY_REJECTED
t1-0,proof_byte,8896,xor01_from0,DESERIALIZE_REJECTED
t1-0,proof_byte,8960,xor01_from62,VERIFY_REJECTED
t1-0,proof_byte,9024,xor01_from147,VERIFY_REJECTED
t1-0,proof_byte,9088,xor01_from66,VERIFY_REJECTED
t1-0,proof_byte,9152,xor01_from50,VERIFY_REJECTED
t1-0,proof_byte,9216,xor01_from3,VERIFY_REJECTED
t1-0,proof_byte,9280,xor01_from174,VERIFY_REJECTED
t1-0,proof_byte,9344,xor01_from224,VERIFY_REJECTED
t1-0,proof_byte,9408,xor01_from0,DESERIALIZE_REJECTED
t1-0,proof_byte,9472,xor01_from37,VERIFY_REJECTED
t1-0,proof_byte,9536,xor01_from186,VERIFY_REJECTED
t1-0,proof_byte,9600,xor01_from225,VERIFY_REJECTED
t1-0,proof_byte,9664,xor01_from50,VERIFY_REJECTED
t1-0,proof_byte,9728,xor01_from247,VERIFY_REJECTED
t1-0,proof_byte,9792,xor01_from57,VERIFY_REJECTED
t1-0,proof_byte,9856,xor01_from0,DESERIALIZE_REJECTED
t1-0,proof_byte,9920,xor01_from38,VERIFY_REJECTED
