label,task,field,route,n_macs,padded_macs,padding_factor,rounds,threads,rep,prove_nanos,verify_nanos,proof_bytes
t1-0-koala-bear-sumcheck-whir-t1-n6,T1-0,koala-bear,sumcheck-whir,65536,65536,1.000000,8,1,0,31312459,3200583,132519
t1-0-koala-bear-sumcheck-whir-t1-n6,T1-0,koala-bear,sumcheck-whir,65536,65536,1.000000,8,1,1,31030334,3303750,132519
t1-0-koala-bear-sumcheck-whir-t1-n6,T1-0,koala-bear,sumcheck-whir,65536,65536,1.000000,8,1,2,30822375,3251958,132519
t1-0-koala-bear-sumcheck-whir-t1-n6,T1-0,koala-bear,sumcheck-whir,65536,65536,1.000000,8,1,3,30503541,3286708,132519
t1-0-koala-bear-sumcheck-whir-t1-n6,T1-0,koala-bear,sumcheck-whir,65536,65536,1.000000,8,1,4,30353542,3276125,132519
t1-0-koala-bear-sumcheck-whir-t1-n6,T1-0,koala-bear,sumcheck-whir,65536,65536,1.000000,8,1,5,30762459,3259291,132519
