size,log_inv_rate,rep,span,bucket,subbucket,self_nanos,hits
2048,1,1,"Compute base layer partial evals",d,d_prodcheck,6355708,1
2048,1,1,"Merkle commit",b1,b1_merkle_commit_glue,29543,2
2048,1,1,"Compute univariate LDE table",a,a_univariate_round,61875,1
2048,1,1,"[phase] BitAnd check",d,d_phase_glue,5668,1
2048,1,1,"Batched selector + C-root sumcheck",a,a_sumcheck_driver,68957,1
2048,1,1,"[phase] IntMul check",d,d_phase_glue,669998,1
2048,1,1,"prover_phase_1",d,d_phase_glue,4418,1
2048,1,1,"MLE-check remaining rounds",a,a_sumcheck_driver,9584,1
2048,1,1,"Merkle Tree",b1,b1_merkle_commit_glue,2752,3
2048,1,1,"Compute variable-base prodcheck layers",d,d_prodcheck,63752833,1
2048,1,1,"Gather lookup index columns",d,d_column_assembly,341959,1
2048,1,1,"Variable-base product check",d,d_prodcheck,239467,1
2048,1,1,"hash_leaves",b1,b1_merkle_leaf_hash,6310624,5
2048,1,1,"Build power tables",d,d_witness_prep,691208,1
2048,1,1,"Fold index columns by rho",a,a_sumcheck_fold,3532458,1
2048,1,1,"Fold univariate round",a,a_sumcheck_fold,913916,1
2048,1,1,"[phase] Shift Reduction",d,d_phase_glue,22917,1
2048,1,1,"Compute batched witness",d,d_basefold_glue,824000,1
2048,1,1,"Build logup* witnesses",d,d_witness_prep,7999792,1
2048,1,1,"fri::FRIFolder::finalize",d,d_fri_finalize,166,1
2048,1,1,"Commit pushforwards",d,d_phase_glue,1667,1
2048,1,1,"Batched constant-base prodcheck",d,d_prodcheck,8324583,1
2048,1,1,"logup* (committed)",d,d_phase_glue,11458,1
2048,1,1,"Basefold MLE-check ZK (batched)",a,a_sumcheck_driver,565042,1
2048,1,1,"Compute univariate round message",a,a_univariate_round,2795416,1
2048,1,1,"e001_sumcheck_execute",a,a_sumcheck_round_poly,145498630,473
2048,1,1,"build_monster_segments",d,d_shift_multilinear_build,8059166,1
2048,1,1,"shift_operator_table",d,d_shift_multilinear_build,46708,2
2048,1,1,"logup* pushforward reduction",a,a_sumcheck_driver,72214,1
2048,1,1,"Expand tensor queries",d,d_tensor_expand,468083,1
2048,1,1,"Reed–Solomon Encode",d,d_ntt_encode,4417,2
2048,1,1,"Prepare witness",d,d_witness_prep,111417,1
2048,1,1,"build_g",d,d_shift_multilinear_build,10882416,2
2048,1,1,"prove_phase_2",d,d_phase_glue,936376,1
2048,1,1,"FRI Fold",d,d_fri_codeword_fold,9292,2
2048,1,1,"Expand evaluation suffix query",d,d_tensor_expand,5750,2
2048,1,1,"logup* reduction",d,d_phase_glue,12207,1
2048,1,1,"FRI Round Fold",d,d_fri_codeword_fold,916,2
2048,1,1,"Evaluate exponent root",d,d_evals,152000,1
2048,1,1,"Build embedding table",d,d_column_assembly,339792,1
2048,1,1,"Build fracadd circuits",d,d_prodcheck,7219500,1
2048,1,1,"Build IntMul witness",d,d_witness_prep,6667,1
2048,1,1,"fri::FRIQueryProver::prove_queries",d,d_pcs_query_open,127500,1
2048,1,1,"e001_sumcheck_fold",a,a_sumcheck_fold,18569866,473
2048,1,1,"Reduce linear relations to committed openings",d,d_basefold_glue,14834,1
2048,1,1,"FRI Initial Fold",d,d_fri_codeword_fold,664417,1
2048,1,1,"[phase] PCS Opening",d,d_phase_glue,6000,1
2048,1,2,"Build fracadd circuits",d,d_prodcheck,6902917,1
2048,1,2,"Compute output bit evals",d,d_evals,3319958,1
2048,1,2,"Compute ring-switching equality indicator",d,d_ring_switch,1260374,2
2048,1,2,"[phase] PCS Opening",d,d_phase_glue,5458,1
2048,1,2,"Build power tables",d,d_witness_prep,699292,1
2048,1,2,"Merkle Tree",b1,b1_merkle_commit_glue,2542,3
2048,1,2,"Gather lookup index columns",d,d_column_assembly,347917,1
2048,1,2,"Build embedding table",d,d_column_assembly,340959,1
2048,1,2,"Batched selector + C-root sumcheck",a,a_sumcheck_driver,34498,1
2048,1,2,"Merkle commit",b1,b1_merkle_commit_glue,4584,2
2048,1,2,"shift_operator_table",d,d_shift_multilinear_build,44499,2
2048,1,2,"Reduce linear relations to committed openings",d,d_basefold_glue,12289,1
2048,1,2,"hash_leaves",b1,b1_merkle_leaf_hash,5915625,5
2048,1,2,"logup* reduction",d,d_phase_glue,8707,1
2048,1,2,"Compute variable-base prodcheck layers",d,d_prodcheck,59416000,1
2048,1,2,"IntMul phase2 (Frobenius twist)",d,d_intmul_phase2,56542,1
2048,1,2,"Build logup* witnesses",d,d_witness_prep,7824167,1
2048,1,2,"Expand tensor queries",d,d_tensor_expand,470125,1
2048,1,2,"Open pushforward relations",d,d_phase_glue,120417,1
2048,1,2,"FRI Initial Fold",d,d_fri_codeword_fold,663583,1
