label,task,n_macs,n_relus,log_inv_rate,threads,security_bits,n_test_queries,rep,prove_nanos,verify_nanos,proof_bytes
t3-r4-t1,T3,737792,3584,4,1,96,106,0,3350139959,74449375,324112
t3-r4-t1,T3,737792,3584,4,1,96,106,1,3317261166,75613208,324112
t3-r4-t1,T3,737792,3584,4,1,96,106,2,3320047958,73348959,324112
t3-r4-t1,T3,737792,3584,4,1,96,106,3,3258240917,72849709,324112
t3-r4-t1,T3,737792,3584,4,1,96,106,4,3234813958,73427709,324112
