label,task,field,route,n_macs,padded_macs,padding_factor,rounds,threads,rep,prove_nanos,verify_nanos,proof_bytes
t1-0-koala-bear-sumcheck-t10-n5,T1-0,koala-bear,sumcheck,65536,65536,1.000000,8,10,0,352583,42833,290
t1-0-koala-bear-sumcheck-t10-n5,T1-0,koala-bear,sumcheck,65536,65536,1.000000,8,10,1,328208,33459,290
t1-0-koala-bear-sumcheck-t10-n5,T1-0,koala-bear,sumcheck,65536,65536,1.000000,8,10,2,330708,34000,290
t1-0-koala-bear-sumcheck-t10-n5,T1-0,koala-bear,sumcheck,65536,65536,1.000000,8,10,3,326292,33000,290
t1-0-koala-bear-sumcheck-t10-n5,T1-0,koala-bear,sumcheck,65536,65536,1.000000,8,10,4,330625,34000,290
